"","1B","2B","3B","HR","FO","K","BB","other"
"427013",0.0102443547780613,0,0,-0.0128427219304956,-0.00168642647513443,0.00436192046494561,-0.00134954990851787,0.0923094035114668
"427019",-0.00533258019999685,0,0,0.034069508939497,0.00541841314860503,-0.0118484154502992,-0.00149014987467847,-0.0317260719186973
"427044",-0.0076135988949781,0,0,0.00167541185999994,-0.00841513208574783,0.0638707095568185,-0.00229164719567344,-0.00707841592048756
"427053",0.0106045097977886,0,0,0.0936307691640811,-0.0109091584866346,-0.0240839695052561,0.00868007048938079,0.000439365647871266
"427058",-0.00424010954459879,0,0,-0.0281078918310994,0.00853501765050572,-0.0215705161846506,-0.000229602180810942,-0.038090149591084
"427081",0.00921623287929862,0,0,0.0021784643988175,-0.00666454013480784,0.023986455545104,-0.00089675307172639,-0.0135745722135475
"427090",0.0133013460959108,0,0,-0.0448020252520355,0.00550508620472171,-0.00586997031373548,-0.00384728457742406,0.0981420911570317
"427093",-0.0259222953836122,0,0,-0.0958101969743633,0.00276140032765681,0.0451511371094653,0.000717145713673911,0.012177444832871
"427095",0.0105272929525014,0,0,-0.0968463555814403,0.0120136533677558,-0.00315698641582144,-0.00395488141751475,-0.00374546998221375
"427103",-0.00964875978994965,0,0,0.0051940345761674,0.00558072092308779,-0.0289823611956578,0.00216872865767224,0.0221558642122562
"427108",-0.00211364403469781,0,0,-0.00402622975690395,0.0124273375644915,-0.0939233087758265,0.00666758738735377,0.0316128165573028
"427113",-0.00903667634486177,0,0,-0.0501582470139553,0.00164429283926281,0.0111390662569419,0.0078724317735428,-0.0274993997840768
"427128",0.00800362651550225,0,0,-0.00326221849598715,-0.00547124210029996,0.033772850764029,-0.0038982822373421,-0.0365194152904658
"427129",-0.0222965669683781,0,0,-0.0758102221983475,0.000289910681549208,0.0545902251747566,0.00476670187683481,-0.00154046637974449
"427139",-0.0089756306588024,0,0,0.032555430067176,-0.00343044653556222,0.00200523910167757,-0.00622997152620078,0.0379801938626032
"427144",-0.00488987871186632,0,0,0.0153599303901559,-0.00506975892333973,0.0196220611439386,0.00264125308890044,0.0346644349153825
"427156",0.0203512455847045,0,0,-0.0779838488274747,0.00235382184386132,-0.0340302527591995,0.00346788447206719,0.0184182964500716
"427164",0.0145957016809228,0,0,-0.0523580668612233,0.0095348586396703,-0.0169674815956051,-0.00648943140312892,-0.0193948287960486
"427168",0.00223808027675088,0,0,-0.0284601275464712,0.00101551360873105,0.0213139087699134,-0.00586822483951742,0.0318181166828102
